accession,condition,replicate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Q8BUV3,Brain,1,0.033846,0.018394,0.036251,0.23643,0.52532,1.0011,1.1623,1.9671,2.6092,3.1452,3.8814,3.8229,3.9205,3.7334,3.6878,6.2812,4.7905,8.7467,7.4347,6.9381,6.5517,5.9764,4.8025,3.8859,3.2344,2.771,2.1049,1.8843,1.5594,1.2352,1.271,1.2202,1.4348,1.4324,1.6616,1.7049,1.9534,1.6328,1.7686,1.7416,2.2161,2.8481,0.51775,0.62098,0.23816,0.47691,0.28484,0,0.38515,0.77082,0,0,0,0,0
Q8BUV3,Brain,2,0.5833,0.95041,1.722,3.1928,3.941,5.1202,6.2125,5.8828,4.3406,5.1353,3.8468,4.233,5.8468,6.1872,6.1245,7.6262,8.6887,7.7549,6.9805,4.3217,3.0347,2.4026,1.9317,1.7305,1.665,1.5655,1.3758,1.5472,1.7839,1.951,1.864,1.6638,1.5624,1.4922,0.9406,0.84512,0.48423,0.3919,0.30773,0.29264,0.19015,0.13312,0.25226,0.29403,0.23901,0,0,0.086874,0,0,0,0.40736,0,0,0
Q8BUV3,Heart,1,0.075416,0.075415,0.10824,0.12216,0.1585,0.10048,0.11431,0.1246,0.098387,0.15887,0.18946,0.31981,0.39302,0.47148,0.66241,1.1142,1.5245,1.7944,1.6584,1.2636,0.71975,0.4512,0.31649,0.20751,0.19087,0.1775,0.21697,0.18274,0.14735,0.1633,0.22097,0.19007,0.14928,0.14918,0.10566,0.12729,0.083275,0.23692,0.08858,0.089456,0.034557,0.048288,0.079077,0.17881,0.040676,0.06231,0.13735,0.084311,0.73433,1.1019,0.50502,0,0.19629,0,0
Q8BUV3,Heart,2,0.24873,1.107,0,0.14327,0.068622,0.3266,0.38506,0.22729,0.19123,0,0.17433,0.19182,0.22719,0.23203,0.25867,0.47547,0.54745,0.54161,0.59823,0.63325,0.62934,0.52016,0.44251,0.38895,0.29469,0.24469,0.24826,0.19153,0.16077,0.30522,0.15745,0.23179,0.29678,0.12405,0.11232,0.19231,0.14528,0.62532,0.17255,0.12716,0.089921,0.14187,0.14163,0.1057,0,0.08376,0.11426,0.14601,0.15744,0,0.12855,0.13285,0,0,0
Q8BUV3,Kidney,1,0.34841,0.52008,0.91973,0.97401,0.73455,0.84591,0.89093,1.0515,1.2415,1.6563,1.8443,2.3294,2.4741,2.5458,3.1514,4.1886,5.6172,7.362,7.4052,5.4538,4.9371,3.0844,4.2335,3.9749,4.1166,4.4997,3.7795,4.8448,4.6798,5.205,5.8336,4.8251,4.5139,5.16,7.1818,1.3062,11.406,16.644,16.12,14.09,7.654,4.6464,3.9176,2.1529,2.4627,0.67155,0.50298,3.1227,5.3953,5.7736,0,0,0,0,0
Q8BUV3,Kidney,2,0.33598,0.68265,1.135,1.4696,0.9909,0.80438,0.67533,0.64529,0.87676,0.95379,1.3214,1.4984,1.6769,1.7197,2.0572,2.3914,3.6809,5.1829,6.6983,5.91,4.74,3.1986,2.3301,2.2435,2.8705,2.8252,2.7551,2.6731,2.6932,2.5571,2.4697,2.7183,1.9548,2.1894,1.8103,2.0751,2.18,4.6376,3.6958,3.7937,3.0787,2.2307,1.298,0.99945,0.80327,0.87646,1.0227,0.94863,1.6652,2.4172,3.0613,4.2706,3.3187,2.8083,2.0739
Q8BUV3,Liver,1,0.20157,0.38545,0.62716,1.2061,1.9474,2.404,3.3422,4.6989,5.8516,5.2684,6.5868,8.3882,10.512,11.412,15.352,17.849,23.124,21.511,17.344,13.027,8.8968,6.7134,5.5119,3.9378,3.067,3.6665,2.7746,2.5793,2.7329,2.705,2.9698,2.4789,2.7732,2.9047,2.4523,1.8547,1.4222,0.92967,0.78027,0.6009,0.5128,0,0,1.56,0,0.41201,0.37996,0,0,0,0.30956,0,0,0,1.3481
Q8BUV3,Liver,2,0.34048,0,1.232,1.7531,1.7655,2.19,2.2288,1.8856,2.8485,2.9573,3.9565,3.6712,3.6464,7.0004,5.0731,9.8768,10.544,8.4844,5.9834,3.2126,2.7241,1.8861,1.4827,1.417,1.2502,1.1482,0.98732,1.1218,1.34,0,0,0.87636,0.66637,0.86021,0,0.50731,0.35754,0.41779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q8BUV3,Lung,1,0.16136,0.14734,0.19331,0.1911,0.23638,0.22135,0.25946,0.30229,0.3874,0.52352,0.66167,0.69366,0.89139,1.1233,1.5818,2.0848,2.6647,2.6998,2.2004,1.186,0.58534,0.40735,0.36712,0.29216,0.40544,0.38045,0.28164,0.32391,0.32877,0.42363,0,0.33836,0.29622,0.20267,0.34848,0.90059,0,0.36416,0,1.8423,0.99614,0.18973,0,0.27591,0.3344,0,0,0.35001,0,0,0,0,0,0,0
Q8BUV3,Lung,2,0.32301,0.26622,0.28014,0.61903,0,0.61114,0.47051,0.52701,0,0.72878,0.91921,1.0588,1.143,1.1245,1.2614,2.3796,3.3913,6.2936,3.0767,2.5049,2.491,1.5422,0,0,0.7939,0.87808,0.88381,0,0.8618,0.9386,0,1.0965,1.0739,0.69539,0.71116,0,0,0,0.30865,0.2948,0,0,0,0.20648,0,0,0,0,0,0,0,0,0,0,0
Q8BUV3,Muscle,1,0.24151,0.30034,0.35249,0.53704,0.42532,0.4016,0.49293,0.58593,0.73934,0.95293,1.2301,1.4103,1.7531,1.9822,3.0388,5.2491,6.1367,5.9825,5.0086,3.2319,1.5976,1.077,0.86753,0.90628,0.76579,0.69718,0.74454,0.94121,0.90991,1.0398,0.94332,1.003,0.77066,0.86333,0.59045,0.41318,0.22069,0.17548,0.13864,0.13063,0.13362,0.13392,0.24053,0.19862,0,0.16,0,0,0.31567,0,0,0,0,0,0
Q8BUV3,Muscle,2,0.048961,0.11112,0.06651,0.39185,0.11504,0.10036,0.088692,0.081139,0.054683,0.13745,0.1096,0.13494,0.16402,0.12028,0.19117,0.21139,0.32348,0.50379,0.48222,0.72067,0.62176,0.51854,0.29918,0.43286,0.21174,0.17684,0.18472,0.29409,0.1269,0.099145,0.096155,0.090693,0.32555,0.41158,0.39212,0.21002,0.1516,0.064052,0.31469,0.19446,0.25626,0.23492,0.18272,0.22325,0.26949,0.064664,0.16668,0.30999,0.13384,0.11803,0.1625,0.14508,0.29483,0.46969,0.36264
Q8BUV3,Thymus,1,0.079105,0.086641,0.093593,0.13053,0.14934,0.084208,0.11963,0.094642,0.097387,0.1178,0.11756,0.1548,0.19224,0.17307,0.21127,0.3475,0.5768,0.79586,0.8822,0.63631,0.2989,0.19007,0.14239,0.11389,0.092825,0.14242,0.11623,0.16001,0.12811,0.14791,0.15796,0.17805,0.10701,0.12268,0.13416,0.10694,0.32685,0.17624,0.14295,0.19514,0.14485,0.19299,0.199,0.17554,0.23207,0.17645,0.33437,0.45396,0.68779,0.28063,0.22944,0.64937,0.12208,0.13701,0.073002
Q8BUV3,Thymus,2,0.19384,0.16705,6.2925,0.21946,0,0,0.20476,0.29416,0.79458,0.23907,0.233,0.35032,0.45029,0.43719,0.39124,0.43523,0,0.74947,0.78655,0.7886,0.98443,0.8069,0,0.37747,0,0.25462,0.25776,0.44814,0.4194,0.1832,0.37803,0.27303,0.24004,0.27544,0.2606,0.23087,0.25773,0.12079,0.20175,0.24658,0.42123,0,0.24924,0.35058,0.32999,0.36201,1.0635,0.34029,0,0.5452,0.21595,0.2866,0.18742,0,0
Q7TPR4,Brain,1,0,0.17856,0.36103,0.28764,0.43944,0.57941,0.50032,0.55302,0.75634,0.63003,0.46337,0.3877,0.31796,0.46099,0.31513,0.41709,0.39289,0.51931,0,0.50219,0.71395,0.86461,0.84604,1.3016,1.2271,1.5696,3.3691,0,12.064,17.339,14.243,8.5272,4.9787,2.4751,1.1748,0.76399,0.70558,0.61248,0.50043,0,0.57054,0.55971,0,0,0,0,0,0,0,0,0,0,0,0,0
Q7TPR4,Brain,2,0.84328,1.4435,1.8184,2.0088,2.0142,1.7508,1.5249,1.1039,0.79815,0.65078,0.52391,0.55764,0.66307,0.67885,0.74612,0.89293,1.312,1.6737,2.1293,3.2647,5.4622,9.5622,17.032,23.873,25.624,16.671,10.069,5.9677,3.2288,1.9066,1.2609,0.95653,0.68504,0.57364,0.45914,0.40604,0.47941,0.40328,0.38162,0.5761,0.55824,0.31895,0.33986,0.49153,0,0.29774,0,0,0,0,0,0,0,0,0
Q7TPR4,Heart,1,0.29457,0.42367,0.41764,0.18263,0.13659,0.43774,0.34017,1.167,0.36897,0.18019,0.25355,0.43713,0.29708,0.36149,0.38729,0.24696,0.5668,0.30406,0.91526,0.35315,0.73912,1.218,1.7173,1.5955,1.0799,0.57135,0.32534,0.88019,1.0034,0.89267,0.69596,0.70017,0.68276,0.92,0.45622,0.15409,2.737,0.23303,0.25034,0.28876,0.4023,0.44996,1.0224,0.38155,0.64767,0.57869,0,0.74871,2.7922,0,0,0,0,0,0
Q7TPR4,Heart,2,0.13199,0.34529,0.27614,0.13747,0.24979,0.23335,0,0.22688,0.20311,0.18981,0.14559,0.12932,0.11628,0.12322,0.14539,0.21197,0.20842,0.27194,0.38089,0.28574,0.2882,0.43974,0.71268,0.88797,1.1757,1.0356,0.86551,0.55109,0.49176,2.2845,0.42141,0.33819,0.45235,0.33783,0.35578,0.26789,0.26917,0.18105,0.26049,0.2628,0.22172,0.23501,0.26847,0.26648,0.28887,0.20471,0.19992,0.26042,0.13637,0.21622,0.20248,0.29839,0.19489,0.15853,0.39102
Q7TPR4,Kidney,1,0.11147,0.1792,0.26349,0.2186,0.18103,0.10914,0.29805,0.29551,0.31058,0.24754,0.18227,0.17294,0.31951,0.18416,0.22044,0.27942,0.35521,0.47158,0.82127,1.6866,1.5708,3.0999,9.1151,22.201,17.082,10.607,4.4335,2.129,0.96654,0.54404,0,0,0,0,0,0.09883,0.14256,0,0,0,0.21368,0,0.34268,0,0,0,0,0,0,0,0,0,0,0,0
Q7TPR4,Kidney,2,0.19381,0.151,0.20451,0.17928,0.13598,0.11569,0.11045,0.092885,0.1437,0.25013,0.11384,0.13248,0.11806,0.13299,0.12307,0.15052,0.20603,0.1955,0.36852,0.65284,1.7053,4.5128,11.221,20.244,25.515,17.969,8.8536,3.4585,1.4981,0.66969,0.39393,0.29572,0.19602,0.22806,0.17333,0.20642,0.098322,0.1508,0.29788,0.25931,0.21242,0.11833,0.1357,0.15213,0.23438,0.1742,0.21829,0.22456,0.53298,0.30347,0.15754,0.26667,0.41725,0,0.071822
